ArticleID,StudyID,Specification,Title,Authors,Area,Year_publication,Article,ORIGINAL_SAMPLE_SIZE,HC_SAMPLE_SIZE,FEMALE,GROUP_SPECIFICATION,AGE_M,AGE_SD,EDUCATION_M,EDUCATION_SD,EDUCATION_SPECIFICATION,TASK,NUMBER_OF_STIMULI,CULTURAL_CONSISTENCY_OF_STIMULI,DUR_DISTRACTOR_TASK_MIN,BEHAVIORAL_DATA_ANALYSIS_METHOD,ANOVA_M,ANOVA_SD,NOTE_FOR_ESSTIMATES,REG_TO_MEAN_CONTROL,LOW_GROUP_M,LOW_GROUP_SE,SAME_GROUP_M,SAME_GROUP_SE,HIGH_GROUP_M,HIGH_GROUP_SE,AVERAGE_M_CHANGE,AVERAGE_SD_CHANGE,AVERAGE_M_CHANGE_SAME,AVERAGE_SD_CHANGE_SAME,FIRST_RATING_M,FIRST_RATING_SE,SECOND_RATING_M,SECOND_RATING_SE,RAW_CONFORMITY _SCORE_M,RAW_CONFORMITY _SCORE_SD,AUTHOR_CONTACT_DETAILS
1,1,"found on google scholar by search of: ""social conformity task face trustworthiness""",Serotoninergic effects on judgments and social learning of trustworthiness,Arndis Simonsen & Jørgen Scheel-Krüger & Mads Jensen & Andreas Roepstorff & Arne Møller & Chris D Frith & Daniel Campbell-Meiklejohn,Denmark,2014,Simonsen et al. (2014),40,20,20,SSRI (serotonin) vs. placebo,23.5,2.5,13.8,1.9,Years of education,Trustworthiness,153,Yes (European f),30,,,,couldn't find a main effect of overall change,,-0.39,0.05,,,0.46,0.05,0.43,0.05,,,4.87,0.1,4.94,0.14,,,arndis_s@hotmail.com
2,2,followed citation from Simonsen et al. 2019,Reinforcement Learning Signal Predicts Social Conformity,Vasily Klucharev & Kaisa Hytönen & Mark Rijpkema & Ale Smidts & Guillén Fernández,Netherlands,2009,Klucharev et al. (2009),46,21,21,Social vs. non-social,21.8,,,,,Attractiveness,222,Yes (European f),30,,31.1,,From one-way ANOVA analysis: main effect of the factor group ratings on changes in attractiveness ratings,,,,,,,,,,,,,,,,,,v.klucharev@fcdonders.ru.nl
3,3,followed citation from Simonsen et al. 2019,Modulation of Social Influence by Methylphenidate,Daniel K Campbell-Meiklejohn & Arndis Simonsen & Mads Jensen & Victoria Wohlert & Trine Gjerløff & Jørgen Scheel-Kruger & Arne Møller & Chris D Frith & Andreas Roepstorff,Denmark,2012,Campbell-Meiklejohn et al. (2012),38,19,19,,23,2.7,13.8,1.8,Years of education,Trustworthiness,153,,30,,35,,Mixed design three-way ANOVA of main effect feedback on change both including placebo and treated,,-0.31,0.11,,,0.5,0.1,0.41,0.105,,,4.88,0.11,4.93,0.15,,,
4,4,"found on google scholar by search of: ""facial trustworthiness""",Investigating the Genetic Basis of Social Conformity: The Role of the Dopamine Receptor 3 (DRD3) Gene,"Zhao C., Lui J., Gong P., Hu J. & Zhou X. ",China,2016,Zhao et al. (2016),149,149,60,,22.5,,,,"All were university students, so we could infer an approximate timeframe",Attractiveness,120,Yes (Chinese f),30,"See Klucharev et al., 2009",,,,,,,,,,,,,,,,,,,0.26,0.095,"Jinting Liu, aislingljt@gmail.com"
5,5,"found on google scholar by search of: ""group opinion social conformity""",Downregulation of the Posterior Medial Frontal Cortex Prevents Social Conformity,Klucharev et al,Europe,2011,Klucharev et al. (2011),47,15,15,,21.1,,,,,Attractiveness,222,Yes (European f),"See Klucharev et al., 2009","See Klucharev et al., 2009",,,,,-0.4,0.25,-0.05,0.28,0.28,0.24,0.34,0.245,0.05,0.28,,,,,,,
6,6,from Riccardo,"Socially Learned Attitude Change is
not reduced in Medicated patients
with schizophrenia","Arndis Simonsen, Riccardo Fusaroli, Joshua Charles Skewes,
Andreas Roepstorff, Ole Mors, Vibeke Bliksted & Daniel Campbell-Meiklejohn",Faroe Islands,2019,Simonsen et al. (2019),80,39,12,Schizophrenia vs control,38.5,10.5,12.1,2.8,,Trustworthiness,153,,60,,,,,Analysed on a subset of data where feedback type and first rating were matched,-0.5,1.84,0.089,1.844,0.68,1.64,0.59,1.74,0.089,1.844,4.73,1.82,4.83,1.82,,,arndis_s@hotmail.com
7,7,from Riccardo,,,Denmark,2020,Unpublished in-class experiment (2020),44,44,25,,22,,14,,All were Cog Sci student,Trustworthiness,,,15,Not performed,,,,,-0.54,1.46,-0.22,1.49,0.14,1.41,0.34,1.434,0.221,1.491,4.63,1.76,4.4,1.814806,,,
8,8,"from search on Google Scholar on ""Klucharev""",Electrophysiological precursors of social conformity,"Anna Shestakova, Jörg Rieskamp, Sergey Tugin, Alexey Ossadtchi, Janina Krutitskaya, Vasily Klucharev",Russia,2012,Shestakova et al (2012),16,15,15,none,19.9,,,,students,Attractiveness,222,Yes (Caucasian f),,"See Klucharev et al., 2009",,,,,-0.74,0.42,-0.18,0.27,0.43,0.32,0.58,0.368,,,,,,,,,
9,9,following meta-analysis of Wu et al. 2016,Social Norms Shift Behavioral and Neural Responses to Foods,Erik C. Nook & Jamil Zaki,USA,2015,Nook and Zaki (2015),25,21,18,healthy/unhealthy food stimuli,20.1,,,,Undergraduates from Stanford,Food rating,150,,5,Not performed,,,calculated by taking a mean of means of three level estimates and subtracting each level from the mean,,-0.11,,0.03,,0.07,,0.09,0,,,,,,,,,
10,10,following meta-analysis of Wu et al. 2016,Social Influence Modulates the Neural Computation of Value,"Jamil Zaki, Jessica Schirmer, and Jason P. Mitchell",USA,2011,Zaki et al. (2011),14,14,0,none,21.8,,,,,Attractiveness,180,Yes (European f),30,"See Klucharev et al., 2009",,,Ratings on 1-7 scale and analysis only include a subset of faces from peers higher and peers lower,,-0.33,,,,0.1,,0.22,0,,,,,,,,,
11,11,from Riccardo,Conformity to the Opinions of Other People Lasts for No More Than 3 Days,"Yi Huang, Keith M. Kendrick, and Rongjun Yu",China,2014,Huang et al. (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
12,12,unknown,Social deviance activates the brain's error-monitoring system,Bo-Rin Kim & Alison Liss & Monica Rao & Zachary Singer & Rebecca J. Compton,USA,2011,Kim et al. (2011),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rcompton@haverford.edu
