ID,URL round 1,URL round 2,Finished?
4520,t3zc9soo,gm0b0k11,yes
Christian Jacobsen,p16vvjzi,9tnr4s3y,yes
tantelulu,a3sfbmu5,ikqvylxk,yes
1918,bieie7ao,5nmlzc2i,yes
Slowlydying,s9p5ckq6,v5ibxvij,yes
havegang7,5ziimz34,14ho06cq,yes
Astrid,zhqv6mcm,9700fvfg,yes
SimoneA,bscxqnea,ygqs8y5h,yes
GOAT,0nfe0k9c,ii2ca2a4,yes
Carmesin,hhvjjhod,wr6elhvg,yes
RBJ,nak8o392,11u16gtf,yes
hejhejhund,3c7i3qeh,oug44nb6,yes
Sarah,szp84fhk,uvpc88el,yes
9696,st6r8kfq,4v10zr69,yes
andrea,lq0zamde,ia0rpy42,yes
Moe,eem5hb8v,ks23jwvj,yes
Python,70icxtu0,7vzmcs48,yes
ASDF1234,dbfzbwq1,hsui8h86,yes
Rensdyrlam,n8969zl4,oen6qf4o,yes
Bøllemis,t55pnknq,xolku9ti,yes
JakobBjerreKnudsen,7896i7ka,6orxz59z,yes
lilla,g1zkj1et,jfke82qw,yes
Katrine,ljefhi7s,v2mkys1q,yes
2205,unfwcb90,wnjx49s1,yes
Llamaman,yhpfe3ki,qr957mqd,yes
SOJ,s1660bu2,gsnp1osd,yes
The cat,j6tklmc7,ij6k2p1q,yes
Grandmasterflash,9ial3dvy,4wl0bfqz,yes
Jesper,4h1ska65,wltwxmba,yes
2205,lszkafql,wnjx49s1,yes
17,sjaa659z,fzt0cp0a,yes
1879,pywjuver,ara1b058,yes
Misterperc,eukb0tda,4d35wwdw,yes
minime,fw1o7714,1qevmfei,yes
45bites,g54qjb0l,36hprd2x,yes
SKJ,fwpmdfnx,csqlcfa3,yes
●,zhw4p27n,8gnlaox0,yes
6107,24vjo3ss,xxe6xzes,yes
rosenmeier,pkf9fk1g,5969nxrd,yes
Johanne,mx0i74iq,dt6c67jl,yes
Asad,ktm1ojr2,e96jb6mr,yes
