"","Paper","Article","Change","ChangeSD","Feedback"
"1",1,"Simonsen et al. (2014)",-0.39,0.05,-2.5
"2",1,"Simonsen et al. (2014)",-0.0405,0.09905,0
"3",1,"Simonsen et al. (2014)",0.46,0.05,2.5
"4",3,"Campbell-Meiklejohn et al. (2012)",0.5,0.1,2.5
"5",3,"Campbell-Meiklejohn et al. (2012)",-0.31,0.11,-2.5
"6",3,"Campbell-Meiklejohn et al. (2012)",-0.0822,0.2119,0
"7",4,"Zhao et al. (2016)",0.26,0.095,1
"8",5,"Klucharev et al. (2011)",0.28,0.24,2.5
"9",5,"Klucharev et al. (2011)",-0.4,0.25,-2.5
"10",5,"Klucharev et al. (2011)",-0.05,0.28,0
"11",6,"Simonsen et al. (2019)",-0.08,1.59,0
"12",6,"Simonsen et al. (2019)",0.46,1.59,2.5
"13",6,"Simonsen et al. (2019)",-0.41,1.53,-2.5
"14",7,"Unpublished in-class experiment (2020)",-0.54,1.46,-2.5
"15",7,"Unpublished in-class experiment (2020)",-0.22,1.49,0
"16",7,"Unpublished in-class experiment (2020)",0.14,1.41,2.5
"17",8,"Shestakova et al (2012)",-0.74,0.42,-2.5
"18",8,"Shestakova et al (2012)",-0.18,0.27,0
"19",8,"Shestakova et al (2012)",0.43,0.32,2.5
"20",9,"Nook and Zaki (2015)",0.07,0.99285,2.5
"21",9,"Nook and Zaki (2015)",-0.11,0.86335,-2.5
"22",9,"Nook and Zaki (2015)",0.03,0.9574,0
"23",10,"Zaki et al. (2011)",-0.0856,0.9947,0
"24",10,"Zaki et al. (2011)",0.1,0.9686,2.5
"25",10,"Zaki et al. (2011)",-0.33,0.9284,-2.5
"26",13,"Unpublished new study (2020)",-0.41,1.49,-2.5
"27",13,"Unpublished new study (2020)",-0.08,1.78,0
"28",13,"Unpublished new study (2020)",0.52,1.74,2.5
