"","FaceID","ID","URL round 1.x","URL round 2.x","ParticipantN.x","Round.x","FirstRating","GroupRating","URL round 2.y","URL round 1.y","ParticipantN.y","Round.y","SecondRating","Feedback","Change"
"1",10,"17","sjaa659z","fzt0cp0a",86,"sc_round1",7,5,"fzt0cp0a","sjaa659z",36,"sc_round2",5,-2,-2
"2",10,"1879","pywjuver","ara1b058",95,"sc_round1",6,6,"ara1b058","pywjuver",39,"sc_round2",4,0,-2
"3",10,"1918","bieie7ao","5nmlzc2i",27,"sc_round1",7,4,"5nmlzc2i","bieie7ao",8,"sc_round2",4,-3,-3
"4",10,"2205","unfwcb90","wnjx49s1",84,"sc_round1",8,6,"wnjx49s1","unfwcb90",35,"sc_round2",7,-2,-1
"5",10,"4520","t3zc9soo","gm0b0k11",1,"sc_round1",7,5,"gm0b0k11","t3zc9soo",1,"sc_round2",7,-2,0
"6",10,"45bites","g54qjb0l","36hprd2x",9,"sc_round1",5,2,"36hprd2x","g54qjb0l",48,"sc_round2",2,-3,-3
"7",10,"6107","24vjo3ss","xxe6xzes",12,"sc_round1",6,3,"xxe6xzes","24vjo3ss",49,"sc_round2",5,-3,-1
"8",10,"9696","st6r8kfq","4v10zr69",55,"sc_round1",6,4,"4v10zr69","st6r8kfq",21,"sc_round2",5,-2,-1
"9",10,"andrea","lq0zamde","ia0rpy42",61,"sc_round1",5,7,"ia0rpy42","lq0zamde",37,"sc_round2",5,2,0
"10",10,"Asad","ktm1ojr2","e96jb6mr",33,"sc_round1",6,6,"e96jb6mr","ktm1ojr2",65,"sc_round2",2,0,-4
"11",10,"ASDF1234","dbfzbwq1","hsui8h86",70,"sc_round1",5,8,"hsui8h86","dbfzbwq1",23,"sc_round2",4,3,-1
"12",10,"Astrid","zhqv6mcm","9700fvfg",38,"sc_round1",6,8,"9700fvfg","zhqv6mcm",13,"sc_round2",6,2,0
"13",10,"Bøllemis","t55pnknq","xolku9ti",71,"sc_round1",7,7,"xolku9ti","t55pnknq",25,"sc_round2",7,0,0
"14",10,"Carmesin","hhvjjhod","wr6elhvg",45,"sc_round1",4,6,"wr6elhvg","hhvjjhod",16,"sc_round2",5,2,1
"15",10,"Christian Jacobsen","p16vvjzi","9tnr4s3y",16,"sc_round1",6,3,"9tnr4s3y","p16vvjzi",2,"sc_round2",5,-3,-1
"16",10,"GOAT","0nfe0k9c","ii2ca2a4",44,"sc_round1",5,2,"ii2ca2a4","0nfe0k9c",5,"sc_round2",4,-3,-1
"17",10,"Grandmasterflash","9ial3dvy","4wl0bfqz",81,"sc_round1",7,7,"4wl0bfqz","9ial3dvy",54,"sc_round2",7,0,0
"18",10,"havegang7","5ziimz34","14ho06cq",36,"sc_round1",6,6,"14ho06cq","5ziimz34",7,"sc_round2",7,0,1
"19",10,"hejhejhund","3c7i3qeh","oug44nb6",52,"sc_round1",6,8,"oug44nb6","3c7i3qeh",19,"sc_round2",7,2,1
"20",10,"Jesper","4h1ska65","wltwxmba",82,"sc_round1",3,6,"wltwxmba","4h1ska65",30,"sc_round2",2,3,-1
"21",10,"Johanne","mx0i74iq","dt6c67jl",32,"sc_round1",7,4,"dt6c67jl","mx0i74iq",64,"sc_round2",7,-3,0
"22",10,"Katrine","ljefhi7s","v2mkys1q",76,"sc_round1",6,3,"v2mkys1q","ljefhi7s",34,"sc_round2",6,-3,0
"23",10,"lilla","g1zkj1et","jfke82qw",73,"sc_round1",5,2,"jfke82qw","g1zkj1et",26,"sc_round2",4,-3,-1
"24",10,"Llamaman","yhpfe3ki","qr957mqd",74,"sc_round1",5,7,"qr957mqd","yhpfe3ki",38,"sc_round2",8,2,3
"25",10,"minime","fw1o7714","1qevmfei",97,"sc_round1",6,8,"1qevmfei","fw1o7714",57,"sc_round2",7,2,1
"26",10,"Misterperc","eukb0tda","4d35wwdw",96,"sc_round1",4,4,"4d35wwdw","eukb0tda",42,"sc_round2",5,0,1
"27",10,"Moe","eem5hb8v","ks23jwvj",65,"sc_round1",7,7,"ks23jwvj","eem5hb8v",45,"sc_round2",6,0,-1
"28",10,"Python","70icxtu0","7vzmcs48",69,"sc_round1",5,8,"7vzmcs48","70icxtu0",24,"sc_round2",5,3,0
"29",10,"RBJ","nak8o392","11u16gtf",47,"sc_round1",5,5,"11u16gtf","nak8o392",11,"sc_round2",5,0,0
"30",10,"Rensdyrlam","n8969zl4","oen6qf4o",72,"sc_round1",7,4,"oen6qf4o","n8969zl4",28,"sc_round2",8,-3,1
"31",10,"rosenmeier","pkf9fk1g","5969nxrd",31,"sc_round1",3,1,"5969nxrd","pkf9fk1g",58,"sc_round2",4,-2,1
"32",10,"Sarah","szp84fhk","uvpc88el",54,"sc_round1",7,0,"uvpc88el","szp84fhk",20,"sc_round2",5,NA,-2
"33",10,"SKJ","fwpmdfnx","csqlcfa3",10,"sc_round1",8,6,"csqlcfa3","fwpmdfnx",46,"sc_round2",6,-2,-2
"34",10,"Slowlydying","s9p5ckq6","v5ibxvij",31,"sc_round1",1,3,"v5ibxvij","s9p5ckq6",10,"sc_round2",7,2,6
"35",10,"SOJ","s1660bu2","gsnp1osd",79,"sc_round1",4,6,"gsnp1osd","s1660bu2",53,"sc_round2",5,2,1
"36",10,"wtf","zhw4p27n","8gnloax0",11,"sc_round1",4,6,"8gnloax0","zhw4p27n",52,"sc_round2",5,2,1
"37",11,"17","sjaa659z","fzt0cp0a",86,"sc_round1",6,3,"fzt0cp0a","sjaa659z",36,"sc_round2",5,-3,-1
"38",11,"1879","pywjuver","ara1b058",95,"sc_round1",4,6,"ara1b058","pywjuver",39,"sc_round2",5,2,1
"39",11,"1918","bieie7ao","5nmlzc2i",27,"sc_round1",7,5,"5nmlzc2i","bieie7ao",8,"sc_round2",4,-2,-3
"40",11,"2205","unfwcb90","wnjx49s1",84,"sc_round1",7,4,"wnjx49s1","unfwcb90",35,"sc_round2",7,-3,0
"41",11,"4520","t3zc9soo","gm0b0k11",1,"sc_round1",4,0,"gm0b0k11","t3zc9soo",1,"sc_round2",6,NA,2
"42",11,"45bites","g54qjb0l","36hprd2x",9,"sc_round1",8,8,"36hprd2x","g54qjb0l",48,"sc_round2",6,0,-2
"43",11,"6107","24vjo3ss","xxe6xzes",12,"sc_round1",5,2,"xxe6xzes","24vjo3ss",49,"sc_round2",5,-3,0
"44",11,"9696","st6r8kfq","4v10zr69",55,"sc_round1",6,8,"4v10zr69","st6r8kfq",21,"sc_round2",5,2,-1
"45",11,"andrea","lq0zamde","ia0rpy42",61,"sc_round1",5,3,"ia0rpy42","lq0zamde",37,"sc_round2",7,-2,2
"46",11,"Asad","ktm1ojr2","e96jb6mr",33,"sc_round1",5,7,"e96jb6mr","ktm1ojr2",65,"sc_round2",5,2,0
"47",11,"ASDF1234","dbfzbwq1","hsui8h86",70,"sc_round1",6,3,"hsui8h86","dbfzbwq1",23,"sc_round2",6,-3,0
"48",11,"Astrid","zhqv6mcm","9700fvfg",38,"sc_round1",8,8,"9700fvfg","zhqv6mcm",13,"sc_round2",7,0,-1
"49",11,"Bøllemis","t55pnknq","xolku9ti",71,"sc_round1",7,0,"xolku9ti","t55pnknq",25,"sc_round2",7,NA,0
"50",11,"Carmesin","hhvjjhod","wr6elhvg",45,"sc_round1",4,0,"wr6elhvg","hhvjjhod",16,"sc_round2",5,NA,1
"51",11,"Christian Jacobsen","p16vvjzi","9tnr4s3y",16,"sc_round1",6,3,"9tnr4s3y","p16vvjzi",2,"sc_round2",3,-3,-3
"52",11,"GOAT","0nfe0k9c","ii2ca2a4",44,"sc_round1",5,5,"ii2ca2a4","0nfe0k9c",5,"sc_round2",4,0,-1
"53",11,"Grandmasterflash","9ial3dvy","4wl0bfqz",81,"sc_round1",5,7,"4wl0bfqz","9ial3dvy",54,"sc_round2",5,2,0
"54",11,"havegang7","5ziimz34","14ho06cq",36,"sc_round1",7,5,"14ho06cq","5ziimz34",7,"sc_round2",6,-2,-1
"55",11,"hejhejhund","3c7i3qeh","oug44nb6",52,"sc_round1",3,0,"oug44nb6","3c7i3qeh",19,"sc_round2",5,NA,2
