"","FaceID","ID","FirstRating","GroupRating","SecondRating","Change","Feedback","Condition"
"1",10,"17",7,5,5,-2,-2,"Peri"
"2",10,"1879",6,6,4,-2,0,"Peri"
"3",10,"1918",7,4,4,-3,-3,"Peri"
"4",10,"2205",8,6,7,-1,-2,"Peri"
"5",10,"4520",7,5,7,0,-2,"Peri"
"6",10,"45bites",5,2,2,-3,-3,"Peri"
"7",10,"6107",6,3,5,-1,-3,"Peri"
"8",10,"9696",6,4,5,-1,-2,"Peri"
"9",10,"andrea",5,7,5,0,2,"Peri"
"10",10,"Asad",6,6,2,-4,0,"Peri"
"11",10,"ASDF1234",5,8,4,-1,3,"Peri"
"12",10,"Astrid",6,8,6,0,2,"Peri"
"13",10,"Bøllemis",7,7,7,0,0,"Peri"
"14",10,"Carmesin",4,6,5,1,2,"Peri"
"15",10,"Christian Jacobsen",6,3,5,-1,-3,"Peri"
"16",10,"GOAT",5,2,4,-1,-3,"Peri"
"17",10,"Grandmasterflash",7,7,7,0,0,"Peri"
"18",10,"havegang7",6,6,7,1,0,"Peri"
"19",10,"hejhejhund",6,8,7,1,2,"Peri"
"20",10,"Jesper",3,6,2,-1,3,"Peri"
"21",10,"Johanne",7,4,7,0,-3,"Peri"
"22",10,"Katrine",6,3,6,0,-3,"Peri"
"23",10,"lilla",5,2,4,-1,-3,"Peri"
"24",10,"Llamaman",5,7,8,3,2,"Peri"
"25",10,"minime",6,8,7,1,2,"Peri"
"26",10,"Misterperc",4,4,5,1,0,"Peri"
"27",10,"Moe",7,7,6,-1,0,"Peri"
"28",10,"Python",5,8,5,0,3,"Peri"
"29",10,"RBJ",5,5,5,0,0,"Peri"
"30",10,"Rensdyrlam",7,4,8,1,-3,"Peri"
"31",10,"rosenmeier",3,1,4,1,-2,"Peri"
"32",10,"Sarah",7,0,5,-2,NA,"Peri"
"33",10,"SKJ",8,6,6,-2,-2,"Peri"
"34",10,"Slowlydying",1,3,7,6,2,"Peri"
"35",10,"SOJ",4,6,5,1,2,"Peri"
"36",10,"wtf",4,6,5,1,2,"Peri"
"37",11,"17",6,3,5,-1,-3,"Peri"
"38",11,"1879",4,6,5,1,2,"Peri"
"39",11,"1918",7,5,4,-3,-2,"Peri"
"40",11,"2205",7,4,7,0,-3,"Peri"
"41",11,"4520",4,0,6,2,NA,"Peri"
"42",11,"45bites",8,8,6,-2,0,"Peri"
"43",11,"6107",5,2,5,0,-3,"Peri"
"44",11,"9696",6,8,5,-1,2,"Peri"
"45",11,"andrea",5,3,7,2,-2,"Peri"
