"","FaceID","ID","Participant","FirstRating","GroupRating","SecondRating","Feedback","Change","TimeStamp1","TimeStamp2"
"1",10,"17",86,7,5,5,-2,-2,2020-05-11 14:33:33,2020-05-12 06:46:41
"2",10,"1879",95,6,6,4,0,-2,2020-05-12 08:11:44,2020-05-12 12:42:31
"3",10,"1918",27,7,4,4,-3,-3,2020-05-08 09:59:25,2020-05-09 07:13:50
"4",10,"2205",84,8,6,7,-2,-1,2020-05-11 13:59:46,2020-05-12 06:45:37
"5",10,"4520",1,7,5,7,-2,0,2020-05-07 13:26:05,2020-05-07 18:11:06
"6",10,"45bites",9,5,2,2,-3,-3,2020-05-12 14:19:49,2020-05-12 17:32:36
"7",10,"6107",12,6,3,5,-3,-1,2020-05-12 16:03:37,2020-05-12 17:33:36
"8",10,"9696",55,6,4,5,-2,-1,2020-05-10 12:43:53,2020-05-10 18:25:33
"9",10,"andrea",61,5,7,5,2,0,2020-05-11 10:19:49,2020-05-12 08:34:56
"10",10,"Asad",33,6,6,2,0,-4,2020-05-13 20:10:11,2020-05-13 21:28:24
"11",10,"ASDF1234",70,5,8,4,3,-1,2020-05-11 10:49:57,2020-05-11 11:54:38
"12",10,"Astrid",38,6,8,6,2,0,2020-05-08 12:53:19,2020-05-09 13:27:16
"13",10,"Bøllemis",71,7,7,7,0,0,2020-05-11 11:03:38,2020-05-11 12:05:46
"14",10,"Carmesin",45,4,6,5,2,1,2020-05-08 17:09:27,2020-05-10 01:58:32
"15",10,"Christian Jacobsen",16,6,3,5,-3,-1,2020-05-07 17:23:10,2020-05-07 18:17:29
"16",10,"GOAT",44,5,2,4,-3,-1,2020-05-08 16:45:39,2020-05-08 18:12:03
"17",10,"Grandmasterflash",81,7,7,7,0,0,2020-05-11 12:35:37,2020-05-12 22:27:46
"18",10,"havegang7",36,6,6,7,0,1,2020-05-08 12:04:55,2020-05-08 21:07:31
"19",10,"hejhejhund",52,6,8,7,2,1,2020-05-09 14:09:32,2020-05-10 09:58:15
"20",10,"Jesper",82,3,6,2,3,-1,2020-05-11 13:13:10,2020-05-11 15:34:50
"21",10,"Johanne",32,7,4,7,-3,0,2020-05-13 19:27:00,2020-05-13 21:01:36
"22",10,"Katrine",76,6,3,6,-3,0,2020-05-11 11:26:24,2020-05-11 19:28:47
"23",10,"lilla",73,5,2,4,-3,-1,2020-05-11 11:12:11,2020-05-11 13:02:33
"24",10,"Llamaman",74,5,7,8,2,3,2020-05-11 11:16:30,2020-05-12 10:18:57
"25",10,"minime",97,6,8,7,2,1,2020-05-12 08:19:30,2020-05-13 12:38:49
"26",10,"Misterperc",96,4,4,5,0,1,2020-05-12 08:14:46,2020-05-12 13:31:52
"27",10,"Moe",65,7,7,6,0,-1,2020-05-11 10:31:13,2020-05-12 16:28:24
"28",10,"Python",69,5,8,5,3,0,2020-05-11 10:37:55,2020-05-11 11:59:16
"29",10,"RBJ",47,5,5,5,0,0,2020-05-08 17:17:19,2020-05-09 12:56:32
"30",10,"Rensdyrlam",72,7,4,8,-3,1,2020-05-11 11:07:17,2020-05-11 13:45:45
"31",10,"rosenmeier",31,3,1,4,-2,1,2020-05-13 17:39:40,2020-05-13 20:02:00
"32",10,"Sarah",54,7,0,5,NA,-2,2020-05-10 08:13:59,2020-05-10 10:46:01
"33",10,"SKJ",10,8,6,6,-2,-2,2020-05-12 15:25:17,2020-05-12 16:45:15
"34",10,"Slowlydying",31,1,3,7,2,6,2020-05-08 11:11:42,2020-05-09 09:54:54
"35",10,"SOJ",79,4,6,5,2,1,2020-05-11 11:35:22,2020-05-12 20:54:58
"36",10,"wtf",11,4,6,5,2,1,2020-05-12 15:38:57,2020-05-12 18:48:25
"37",11,"17",86,6,3,5,-3,-1,2020-05-11 14:33:33,2020-05-12 06:46:41
"38",11,"1879",95,4,6,5,2,1,2020-05-12 08:11:44,2020-05-12 12:42:31
"39",11,"1918",27,7,5,4,-2,-3,2020-05-08 09:59:25,2020-05-09 07:13:50
