participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.rating2,player.faceid,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,gm0b0k11,,0,81,80,sc_round2,Rating,127.0.0.1,2020-05-07 18:11:06.574220+00:00,1,,,0,1,2,73,0,1,1,8ug846oo,,,,,,0
2,9tnr4s3y,,0,81,80,sc_round2,Rating,127.0.0.1,2020-05-07 18:17:29.203050+00:00,1,,,0,2,6,39,0,1,1,8ug846oo,,,,,,0
3,8x9o12cu,,0,81,80,sc_round2,Rating,127.0.0.1,2020-05-07 18:51:07.619300+00:00,1,,,0,3,6,58,0,1,1,8ug846oo,,,,,,0
4,ikqvylxk,,0,0,80,,,,,0,,,0,4,,,0,1,1,8ug846oo,,,,,,0
5,ii2ca2a4,,0,0,80,,,,,0,,,0,5,,,0,1,1,8ug846oo,,,,,,0
6,ci6ldgwu,,0,0,80,,,,,0,,,0,6,,,0,1,1,8ug846oo,,,,,,0
7,14ho06cq,,0,0,80,,,,,0,,,0,7,,,0,1,1,8ug846oo,,,,,,0
8,5nmlzc2i,,0,0,80,,,,,0,,,0,8,,,0,1,1,8ug846oo,,,,,,0
9,9ykztd56,,0,0,80,,,,,0,,,0,9,,,0,1,1,8ug846oo,,,,,,0
10,v5ibxvij,,0,0,80,,,,,0,,,0,10,,,0,1,1,8ug846oo,,,,,,0
11,11u16gtf,,0,0,80,,,,,0,,,0,11,,,0,1,1,8ug846oo,,,,,,0
12,ygqs8y5h,,0,0,80,,,,,0,,,0,12,,,0,1,1,8ug846oo,,,,,,0
13,9700fvfg,,0,0,80,,,,,0,,,0,13,,,0,1,1,8ug846oo,,,,,,0
14,6izcbka0,,0,0,80,,,,,0,,,0,14,,,0,1,1,8ug846oo,,,,,,0
15,ke5u1znt,,0,0,80,,,,,0,,,0,15,,,0,1,1,8ug846oo,,,,,,0
16,wr6elhvg,,0,0,80,,,,,0,,,0,16,,,0,1,1,8ug846oo,,,,,,0
17,ru6qw4li,,0,0,80,,,,,0,,,0,17,,,0,1,1,8ug846oo,,,,,,0
18,5vp0s5to,,0,0,80,,,,,0,,,0,18,,,0,1,1,8ug846oo,,,,,,0
19,oug44nb6,,0,0,80,,,,,0,,,0,19,,,0,1,1,8ug846oo,,,,,,0
20,uvpc88el,,0,0,80,,,,,0,,,0,20,,,0,1,1,8ug846oo,,,,,,0
21,4v10zr69,,0,0,80,,,,,0,,,0,21,,,0,1,1,8ug846oo,,,,,,0
22,2l2evr5n,,0,0,80,,,,,0,,,0,22,,,0,1,1,8ug846oo,,,,,,0
23,hsui8h86,,0,0,80,,,,,0,,,0,23,,,0,1,1,8ug846oo,,,,,,0
24,7vzmcs48,,0,0,80,,,,,0,,,0,24,,,0,1,1,8ug846oo,,,,,,0
25,xolku9ti,,0,0,80,,,,,0,,,0,25,,,0,1,1,8ug846oo,,,,,,0
26,jfke82qw,,0,0,80,,,,,0,,,0,26,,,0,1,1,8ug846oo,,,,,,0
27,6orxz59z,,0,0,80,,,,,0,,,0,27,,,0,1,1,8ug846oo,,,,,,0
28,oen6qf4o,,0,0,80,,,,,0,,,0,28,,,0,1,1,8ug846oo,,,,,,0
29,04u9on02,,0,0,80,,,,,0,,,0,29,,,0,1,1,8ug846oo,,,,,,0
30,wltwxmba,,0,0,80,,,,,0,,,0,30,,,0,1,1,8ug846oo,,,,,,0
31,46dk00oq,,0,0,80,,,,,0,,,0,31,,,0,1,1,8ug846oo,,,,,,0
32,ya92efng,,0,0,80,,,,,0,,,0,32,,,0,1,1,8ug846oo,,,,,,0
33,xk4anymq,,0,0,80,,,,,0,,,0,33,,,0,1,1,8ug846oo,,,,,,0
34,v2mkys1q,,0,0,80,,,,,0,,,0,34,,,0,1,1,8ug846oo,,,,,,0
35,wnjx49s1,,0,0,80,,,,,0,,,0,35,,,0,1,1,8ug846oo,,,,,,0
36,fzt0cp0a,,0,0,80,,,,,0,,,0,36,,,0,1,1,8ug846oo,,,,,,0
37,ia0rpy42,,0,0,80,,,,,0,,,0,37,,,0,1,1,8ug846oo,,,,,,0
38,qr957mqd,,0,0,80,,,,,0,,,0,38,,,0,1,1,8ug846oo,,,,,,0
39,ara1b058,,0,0,80,,,,,0,,,0,39,,,0,1,1,8ug846oo,,,,,,0
40,ij6k2p1q,,0,0,80,,,,,0,,,0,40,,,0,1,1,8ug846oo,,,,,,0
41,xanqnoe3,,0,0,80,,,,,0,,,0,41,,,0,1,1,8ug846oo,,,,,,0
42,4d35wwdw,,0,0,80,,,,,0,,,0,42,,,0,1,1,8ug846oo,,,,,,0
43,z1wyzuo3,,0,0,80,,,,,0,,,0,43,,,0,1,1,8ug846oo,,,,,,0
44,nwnbj17b,,0,0,80,,,,,0,,,0,44,,,0,1,1,8ug846oo,,,,,,0
45,ks23jwvj,,0,0,80,,,,,0,,,0,45,,,0,1,1,8ug846oo,,,,,,0
46,csqlcfa3,,0,0,80,,,,,0,,,0,46,,,0,1,1,8ug846oo,,,,,,0
47,b8fzqevv,,0,0,80,,,,,0,,,0,47,,,0,1,1,8ug846oo,,,,,,0
48,36hprd2x,,0,0,80,,,,,0,,,0,48,,,0,1,1,8ug846oo,,,,,,0
49,xxe6xzes,,0,0,80,,,,,0,,,0,49,,,0,1,1,8ug846oo,,,,,,0
50,nkd66h6k,,0,0,80,,,,,0,,,0,50,,,0,1,1,8ug846oo,,,,,,0
51,nmuohv1m,,0,0,80,,,,,0,,,0,51,,,0,1,1,8ug846oo,,,,,,0
52,8gnloax0,,0,0,80,,,,,0,,,0,52,,,0,1,1,8ug846oo,,,,,,0
53,gsnp1osd,,0,0,80,,,,,0,,,0,53,,,0,1,1,8ug846oo,,,,,,0
54,4wl0bfqz,,0,0,80,,,,,0,,,0,54,,,0,1,1,8ug846oo,,,,,,0
55,owc4k468,,0,0,80,,,,,0,,,0,55,,,0,1,1,8ug846oo,,,,,,0
56,o72su5cj,,0,0,80,,,,,0,,,0,56,,,0,1,1,8ug846oo,,,,,,0
57,1qevmfei,,0,0,80,,,,,0,,,0,57,,,0,1,1,8ug846oo,,,,,,0
58,5969nxrd,,0,0,80,,,,,0,,,0,58,,,0,1,1,8ug846oo,,,,,,0
59,6n4nhn9q,,0,0,80,,,,,0,,,0,59,,,0,1,1,8ug846oo,,,,,,0
60,j7ir6wzd,,0,0,80,,,,,0,,,0,60,,,0,1,1,8ug846oo,,,,,,0
61,w032gus8,,0,0,80,,,,,0,,,0,61,,,0,1,1,8ug846oo,,,,,,0
62,yomft0xm,,0,0,80,,,,,0,,,0,62,,,0,1,1,8ug846oo,,,,,,0
63,oxb4ufpz,,0,0,80,,,,,0,,,0,63,,,0,1,1,8ug846oo,,,,,,0
64,dt6c67jl,,0,0,80,,,,,0,,,0,64,,,0,1,1,8ug846oo,,,,,,0
65,e96jb6mr,,0,0,80,,,,,0,,,0,65,,,0,1,1,8ug846oo,,,,,,0
66,z2x3uouu,,0,0,80,,,,,0,,,0,66,,,0,1,1,8ug846oo,,,,,,0
67,9bimal6n,,0,0,80,,,,,0,,,0,67,,,0,1,1,8ug846oo,,,,,,0
68,vo1ug5nt,,0,0,80,,,,,0,,,0,68,,,0,1,1,8ug846oo,,,,,,0
69,3znj3mog,,0,0,80,,,,,0,,,0,69,,,0,1,1,8ug846oo,,,,,,0
70,0f5vax22,,0,0,80,,,,,0,,,0,70,,,0,1,1,8ug846oo,,,,,,0
71,3y9eu9rw,,0,0,80,,,,,0,,,0,71,,,0,1,1,8ug846oo,,,,,,0
72,pufvucst,,0,0,80,,,,,0,,,0,72,,,0,1,1,8ug846oo,,,,,,0
73,efmd4aza,,0,0,80,,,,,0,,,0,73,,,0,1,1,8ug846oo,,,,,,0
74,cezhgoha,,0,0,80,,,,,0,,,0,74,,,0,1,1,8ug846oo,,,,,,0
75,m0zqt2go,,0,0,80,,,,,0,,,0,75,,,0,1,1,8ug846oo,,,,,,0
76,2cgiadbv,,0,0,80,,,,,0,,,0,76,,,0,1,1,8ug846oo,,,,,,0
77,0s3ja4w6,,0,0,80,,,,,0,,,0,77,,,0,1,1,8ug846oo,,,,,,0
78,vgewbm4q,,0,0,80,,,,,0,,,0,78,,,0,1,1,8ug846oo,,,,,,0
79,3yzevd1n,,0,0,80,,,,,0,,,0,79,,,0,1,1,8ug846oo,,,,,,0
80,ynmgbgvh,,0,0,80,,,,,0,,,0,80,,,0,1,1,8ug846oo,,,,,,0
81,cx2bom5t,,0,0,80,,,,,0,,,0,81,,,0,1,1,8ug846oo,,,,,,0
82,qwn67ag9,,0,0,80,,,,,0,,,0,82,,,0,1,1,8ug846oo,,,,,,0
83,y6c0n8vd,,0,0,80,,,,,0,,,0,83,,,0,1,1,8ug846oo,,,,,,0
84,lqytj7wm,,0,0,80,,,,,0,,,0,84,,,0,1,1,8ug846oo,,,,,,0
85,892qltn4,,0,0,80,,,,,0,,,0,85,,,0,1,1,8ug846oo,,,,,,0
86,28ht6s7k,,0,0,80,,,,,0,,,0,86,,,0,1,1,8ug846oo,,,,,,0
87,pd2m3d9p,,0,0,80,,,,,0,,,0,87,,,0,1,1,8ug846oo,,,,,,0
88,4pfb55zc,,0,0,80,,,,,0,,,0,88,,,0,1,1,8ug846oo,,,,,,0
89,3q0zljmk,,0,0,80,,,,,0,,,0,89,,,0,1,1,8ug846oo,,,,,,0
90,8fftzans,,0,0,80,,,,,0,,,0,90,,,0,1,1,8ug846oo,,,,,,0
91,5xsywri5,,0,0,80,,,,,0,,,0,91,,,0,1,1,8ug846oo,,,,,,0
92,ktvt8qzu,,0,0,80,,,,,0,,,0,92,,,0,1,1,8ug846oo,,,,,,0
93,uxgoovhb,,0,0,80,,,,,0,,,0,93,,,0,1,1,8ug846oo,,,,,,0
94,09s3mdl3,,0,0,80,,,,,0,,,0,94,,,0,1,1,8ug846oo,,,,,,0
95,5174gbxr,,0,0,80,,,,,0,,,0,95,,,0,1,1,8ug846oo,,,,,,0
96,8sjvoq5o,,0,0,80,,,,,0,,,0,96,,,0,1,1,8ug846oo,,,,,,0
97,x7dm3h2j,,0,0,80,,,,,0,,,0,97,,,0,1,1,8ug846oo,,,,,,0
98,1yfovpmn,,0,0,80,,,,,0,,,0,98,,,0,1,1,8ug846oo,,,,,,0
99,igawabhg,,0,0,80,,,,,0,,,0,99,,,0,1,1,8ug846oo,,,,,,0
100,ndzu4gax,,0,0,80,,,,,0,,,0,100,,,0,1,1,8ug846oo,,,,,,0
1,gm0b0k11,,0,81,80,sc_round2,Rating,127.0.0.1,2020-05-07 18:11:06.574220+00:00,1,,,0,1,3,39,0,1,2,8ug846oo,,,,,,0
2,9tnr4s3y,,0,81,80,sc_round2,Rating,127.0.0.1,2020-05-07 18:17:29.203050+00:00,1,,,0,2,4,44,0,1,2,8ug846oo,,,,,,0
3,8x9o12cu,,0,81,80,sc_round2,Rating,127.0.0.1,2020-05-07 18:51:07.619300+00:00,1,,,0,3,7,69,0,1,2,8ug846oo,,,,,,0
4,ikqvylxk,,0,0,80,,,,,0,,,0,4,,,0,1,2,8ug846oo,,,,,,0
5,ii2ca2a4,,0,0,80,,,,,0,,,0,5,,,0,1,2,8ug846oo,,,,,,0
6,ci6ldgwu,,0,0,80,,,,,0,,,0,6,,,0,1,2,8ug846oo,,,,,,0
7,14ho06cq,,0,0,80,,,,,0,,,0,7,,,0,1,2,8ug846oo,,,,,,0
8,5nmlzc2i,,0,0,80,,,,,0,,,0,8,,,0,1,2,8ug846oo,,,,,,0
9,9ykztd56,,0,0,80,,,,,0,,,0,9,,,0,1,2,8ug846oo,,,,,,0
10,v5ibxvij,,0,0,80,,,,,0,,,0,10,,,0,1,2,8ug846oo,,,,,,0
11,11u16gtf,,0,0,80,,,,,0,,,0,11,,,0,1,2,8ug846oo,,,,,,0
12,ygqs8y5h,,0,0,80,,,,,0,,,0,12,,,0,1,2,8ug846oo,,,,,,0
