"","ID","FaceID","FirstRating","GroupRating","Feedback","SecondRating","Change","Condition"
"1",201,0,4,2,-2,4,0,"Pre"
"2",201,1,3,1,-2,4,1,"Pre"
"3",201,2,4,4,0,3,-1,"Pre"
"4",201,3,4,6,2,4,0,"Pre"
"5",201,4,4,4,0,5,1,"Pre"
"6",201,5,6,6,0,5,-1,"Pre"
"7",201,6,4,1,-3,3,-1,"Pre"
"8",201,7,3,3,0,3,0,"Pre"
"9",201,8,4,1,-3,5,1,"Pre"
"10",201,9,6,6,0,4,-2,"Pre"
"11",201,10,6,6,0,5,-1,"Pre"
"12",201,11,5,8,3,4,-1,"Pre"
"13",201,12,6,3,-3,6,0,"Pre"
"14",201,13,4,4,0,4,0,"Pre"
"15",201,14,5,2,-3,4,-1,"Pre"
"16",201,15,3,3,0,4,1,"Pre"
"17",201,16,5,3,-2,5,0,"Pre"
"18",201,17,5,5,0,5,0,"Pre"
"19",201,18,4,2,-2,5,1,"Pre"
"20",201,19,6,8,2,5,-1,"Pre"
"21",201,20,5,2,-3,5,0,"Pre"
"22",201,21,5,2,-3,5,0,"Pre"
"23",201,22,4,4,0,3,-1,"Pre"
"24",201,23,5,7,2,5,0,"Pre"
"25",201,24,5,5,0,5,0,"Pre"
"26",201,25,4,2,-2,5,1,"Pre"
"27",201,26,5,3,-2,4,-1,"Pre"
"28",201,27,4,6,2,5,1,"Pre"
"29",201,28,4,7,3,3,-1,"Pre"
"30",201,29,6,8,2,5,-1,"Pre"
"31",201,30,4,4,0,5,1,"Pre"
"32",201,31,4,2,-2,6,2,"Pre"
"33",201,32,4,2,-2,4,0,"Pre"
"34",201,33,4,4,0,4,0,"Pre"
"35",201,34,5,3,-2,4,-1,"Pre"
"36",201,35,6,3,-3,6,0,"Pre"
"37",201,36,5,5,0,4,-1,"Pre"
"38",201,37,5,5,0,5,0,"Pre"
"39",201,38,4,1,-3,4,0,"Pre"
"40",201,39,5,7,2,5,0,"Pre"
"41",201,40,5,3,-2,5,0,"Pre"
"42",201,41,5,3,-2,5,0,"Pre"
"43",201,42,5,5,0,5,0,"Pre"
"44",201,43,5,5,0,5,0,"Pre"
"45",201,44,6,3,-3,5,-1,"Pre"
