"","ID","FaceID","FirstRating","GroupRating","SecondRating","Feedback","Change","Condition"
"1",1,10,7,4,5,-3,-2,"Pre"
"2",1,11,5,2,6,-3,1,"Pre"
"3",1,12,5,7,6,2,1,"Pre"
"4",1,13,5,7,5,2,0,"Pre"
"5",1,14,4,2,5,-2,1,"Pre"
"6",1,15,5,5,5,0,0,"Pre"
"7",1,16,5,2,5,-3,0,"Pre"
"8",1,17,5,8,5,3,0,"Pre"
"9",1,18,6,4,4,-2,-2,"Pre"
"10",1,19,6,6,6,0,0,"Pre"
"11",1,2,5,5,6,0,1,"Pre"
"12",1,20,7,0,6,NA,-1,"Pre"
"13",1,21,4,1,4,-3,0,"Pre"
"14",1,22,3,5,4,2,1,"Pre"
"15",1,23,6,3,5,-3,-1,"Pre"
"16",1,24,4,2,5,-2,1,"Pre"
"17",1,25,5,7,5,2,0,"Pre"
"18",1,26,5,3,6,-2,1,"Pre"
"19",1,27,5,2,5,-3,0,"Pre"
"20",1,28,5,8,5,3,0,"Pre"
"21",1,29,7,4,6,-3,-1,"Pre"
"22",1,3,5,7,5,2,0,"Pre"
"23",1,30,6,3,5,-3,-1,"Pre"
"24",1,31,7,0,6,NA,-1,"Pre"
"25",1,32,5,2,6,-3,1,"Pre"
"26",1,33,5,3,5,-2,0,"Pre"
"27",1,34,5,5,5,0,0,"Pre"
"28",1,35,5,3,6,-2,1,"Pre"
"29",1,36,6,4,5,-2,-1,"Pre"
"30",1,37,6,8,5,2,-1,"Pre"
"31",1,38,7,4,6,-3,-1,"Pre"
"32",1,39,3,5,3,2,0,"Pre"
"33",1,4,5,8,5,3,0,"Pre"
"34",1,40,5,8,6,3,1,"Pre"
"35",1,41,6,8,4,2,-2,"Pre"
"36",1,42,6,4,5,-2,-1,"Pre"
"37",1,43,5,5,5,0,0,"Pre"
"38",1,44,4,6,6,2,2,"Pre"
"39",1,45,6,4,6,-2,0,"Pre"
"40",1,46,6,4,6,-2,0,"Pre"
"41",1,47,5,7,5,2,0,"Pre"
"42",1,48,3,6,5,3,2,"Pre"
"43",1,49,3,3,5,0,2,"Pre"
"44",1,5,6,4,5,-2,-1,"Pre"
"45",1,50,5,0,6,NA,1,"Pre"
"46",1,51,5,0,4,NA,-1,"Pre"
"47",1,52,5,3,5,-2,0,"Pre"
"48",1,53,5,0,5,NA,0,"Pre"
"49",1,54,6,8,6,2,0,"Pre"
"50",1,55,8,8,6,0,-2,"Pre"
"51",1,56,8,0,5,NA,-3,"Pre"
"52",1,57,5,8,6,3,1,"Pre"
"53",1,58,6,0,6,NA,0,"Pre"
"54",1,59,7,4,5,-3,-2,"Pre"
"55",1,6,5,8,5,3,0,"Pre"
"56",1,60,3,1,5,-2,2,"Pre"
"57",1,61,4,1,5,-3,1,"Pre"
"58",1,62,4,6,5,2,1,"Pre"
"59",1,63,4,2,4,-2,0,"Pre"
"60",1,64,6,0,5,NA,-1,"Pre"
"61",1,65,4,7,5,3,1,"Pre"
"62",1,66,4,2,4,-2,0,"Pre"
"63",1,67,6,8,6,2,0,"Pre"
"64",1,68,5,7,5,2,0,"Pre"
"65",1,69,5,2,6,-3,1,"Pre"
"66",1,7,2,4,4,2,2,"Pre"
"67",1,70,4,6,6,2,2,"Pre"
"68",1,71,6,3,5,-3,-1,"Pre"
"69",1,72,4,2,6,-2,2,"Pre"
"70",1,73,4,6,4,2,0,"Pre"
"71",1,74,5,5,6,0,1,"Pre"
"72",1,75,5,8,6,3,1,"Pre"
"73",1,76,4,1,4,-3,0,"Pre"
"74",1,77,3,0,3,NA,0,"Pre"
"75",1,78,4,2,4,-2,0,"Pre"
"76",1,79,6,6,5,0,-1,"Pre"
"77",1,8,4,1,5,-3,1,"Pre"
"78",1,80,4,7,4,3,0,"Pre"
"79",1,81,4,4,5,0,1,"Pre"
"80",1,9,5,0,6,NA,1,"Pre"
"81",10,10,3,0,3,NA,0,"Pre"
